V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
NCR3LG1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCRNA00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0
NCRUPAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCSTN,0,0,2080,1143,216,0,36,318,312,156,1499,11,374,5,836,5,1069,20,358,54,90,647,1086,0,2013,16,0,0,3281,1747
NDC80,0,366,2489,0,0,0,184,0,0,0,10,643,1117,77,658,1,3914,1642,0,827,15419,819,844,0,170,160,59,4224,4936,749
NDE1,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,56,53,174,0,0,27,0,0,19,103,0,0,29,0
NDEL1,0,163,408,0,0,7,423,0,0,1009,88,0,2104,0,0,0,1481,0,0,7,0,0,0,70,869,23,0,0,1231,1205
NDFIP1,379,472,195,527,204,124,190,0,272,120,172,60,5429,218,283,527,4704,383,51,86,243,91,1605,0,79,23,176,0,114,1265
NDFIP2,0,1,4666,2590,647,0,378,0,0,2881,2148,0,411,703,1,0,13677,93,0,0,8114,1192,430,8405,11,1963,5807,1,4754,1664
NDFIP2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDN,0,0,0,0,0,0,0,0,0,404,0,561,0,0,0,5,0,0,0,0,0,0,0,443,0,0,0,1,618,0
NDNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDNL2,0,0,1,660,20,0,0,0,0,0,313,0,0,0,0,0,630,0,0,36,0,0,508,0,0,330,0,0,567,6
NDOR1,0,2,0,0,0,0,98,0,0,1905,82,0,0,1,0,0,0,1,4,248,0,0,0,27,0,37,0,0,0,0
NDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDRG1,0,56,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
NDRG2,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0
NDRG3,0,1,261,0,18,0,219,118,2,1266,92,226,0,45,2,39,3019,9,81,0,19,83,0,803,11,446,724,306,1960,1
NDRG4,0,34,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
NDST1,0,329,0,0,0,0,0,17,0,51,15,1,287,19,219,0,0,0,21,96,0,0,16,2669,37,171,19,0,10,0
NDST2,0,215,0,0,0,0,0,1065,0,0,0,0,0,65,0,0,0,0,556,0,0,0,1882,0,0,0,0,0,0,0
NDST3,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70
NDST4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFA1,4667,394,6227,4227,462,646,733,194,621,1683,1638,596,6563,284,74,262,10484,540,1004,23,11594,216,1845,1184,977,1139,5017,1058,1578,762
NDUFA10,0,783,5461,4304,847,1357,1237,13,0,13079,4364,272,1888,772,894,1457,8551,1063,790,837,12819,453,4100,10892,2688,1078,8644,1733,7784,1457
NDUFA11,2622,969,7477,5204,184,466,966,996,858,6338,3768,523,6699,341,424,563,21590,1207,893,127,18088,539,6987,7620,1465,2366,6399,53,6600,2197
NDUFA12,1,562,13925,2524,326,1147,1107,1041,179,2286,2769,3264,5927,1467,998,496,19880,1528,4126,525,20411,317,5788,2546,473,1780,9496,845,1742,1501
NDUFA13,2933,440,19686,10367,682,1667,1650,1438,960,6917,3225,1528,9251,1128,1445,703,31992,1541,3378,310,18135,462,4038,4954,1383,2072,7277,1635,3967,2734
NDUFA2,999,669,8152,5335,256,494,754,587,965,4363,3080,675,5643,671,431,488,10437,918,1910,228,18779,216,2377,2171,985,1760,3928,2436,1816,1859
NDUFA3,0,370,2033,772,191,78,344,446,191,3410,1105,194,4117,174,151,207,3951,476,77,98,7843,131,1170,1302,465,706,3409,645,1400,1038
NDUFA4,8579,1350,28405,13905,1138,2552,2676,1107,273,14527,10316,1938,12333,1235,1161,920,43098,1583,3002,1091,43101,925,8027,13877,2726,7030,14904,1539,12717,8238
NDUFA4L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFA5,5387,983,10661,4706,1397,833,402,2808,499,3871,1439,2663,278,1667,83,491,6188,2973,2,59,19756,758,394,1400,512,1707,6338,1022,1717,2205
NDUFA6,8572,2090,21645,16263,1673,1159,2366,2814,548,18786,5884,2828,23439,1309,1996,501,61686,2160,7262,488,34877,707,15202,12571,1719,4797,21193,3658,8462,8274
NDUFA7,0,88,2423,1365,91,606,96,0,0,794,395,385,1766,188,227,83,4219,402,396,81,4050,26,1045,329,522,506,605,334,1020,374
NDUFA8,10453,874,9656,4513,1126,1320,769,788,0,5261,3445,1349,8105,1328,1727,897,25460,931,2494,151,22832,265,7265,604,1598,1450,6056,89,6170,1832
NDUFA9,0,590,12876,5442,1294,1196,1358,1014,18,6396,2943,2129,11169,343,243,364,20052,446,927,160,15030,930,5936,2296,1212,1591,423,644,3745,4205
NDUFAB1,28273,2954,29815,8536,1615,1926,2482,1991,477,6385,5054,3085,37782,2346,2427,3410,25723,2224,7743,1003,29444,653,8053,2909,1198,2387,10633,6515,4232,4178
NDUFAF1,0,0,2611,96,349,0,0,49,0,1062,445,0,10,236,38,0,0,2,0,289,3223,0,213,0,1,1242,933,1870,189,1315
NDUFAF2,0,0,1060,875,104,0,32,0,85,358,1203,0,936,35,123,154,1755,41,0,21,3867,41,2298,1736,99,716,0,100,292,66
NDUFAF3,0,0,0,0,222,3,0,0,246,0,201,0,0,30,0,206,1622,394,0,0,1092,0,1241,0,0,293,1712,0,0,0
NDUFAF4,1,434,4768,539,599,1,943,468,158,3862,3163,1485,3890,111,935,286,19106,805,884,273,9732,613,4368,1783,205,2205,5810,804,3226,1450
NDUFAF4P1,0,3,52,5,4,0,8,2,4,43,29,17,29,1,9,3,111,9,5,1,87,4,17,22,0,14,33,2,36,14
NDUFAF5,0,0,2884,161,532,0,194,0,386,2972,1519,906,0,25,0,15,6168,49,0,81,3040,0,1,2323,0,576,2482,0,1587,2390
NDUFAF6,0,0,2034,86,38,0,206,0,0,1217,287,0,2478,14,0,0,932,0,0,184,15,0,3028,0,0,585,0,0,0,911
NDUFAF7,73,102,3150,13,700,532,281,1,5,1828,366,548,4,922,587,454,5753,860,860,4,4083,168,1096,2401,741,451,67,26,2962,462
NDUFB1,0,107,2084,1438,116,127,405,324,64,2520,1790,95,1800,529,155,170,4085,132,903,229,6055,76,690,569,429,1217,1902,621,1140,593
NDUFB10,5923,898,11070,7262,483,573,1210,292,153,4577,2903,256,5194,231,1092,260,17126,1075,560,95,9938,243,6480,464,1588,1014,6413,1506,2135,1374
NDUFB11,2392,432,10967,5555,109,586,598,1,205,1793,901,299,5206,322,202,518,12000,262,526,53,16241,96,4995,1113,649,901,7728,542,1855,1882
NDUFB2,2065,435,14924,7371,608,2029,1975,750,220,8321,3894,293,18033,765,874,372,36409,1645,1246,405,23322,305,5666,8733,1511,4603,12470,3194,6238,3891
NDUFB2-AS1,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,110,0,0,0,0,210,0,0,0,0,0,0,0,0,0
NDUFB3,1529,290,5839,2417,307,1505,515,85,92,1062,1631,519,5091,243,646,151,7019,245,674,92,7042,179,478,943,179,1077,2640,1106,968,505
NDUFB4,89,234,3431,2473,252,550,622,199,0,3194,1898,273,1584,14,276,171,11509,833,991,71,5290,103,1738,2848,142,1538,1523,446,2694,1498
NDUFB5,1,776,7332,6600,536,0,1669,478,0,1725,5174,1547,4954,761,2,770,9360,1254,504,715,6908,209,0,2285,173,812,2412,0,2407,2742
NDUFB6,0,1054,14015,7370,706,2119,977,1156,0,3783,3087,822,7150,345,932,661,16755,947,0,174,18279,391,3921,1802,495,1564,3984,923,4061,2767
NDUFB7,3997,302,3765,2214,106,127,1050,590,334,4744,1365,253,9199,660,275,350,13161,408,908,212,5716,234,3715,0,324,536,4567,348,1951,1404
NDUFB8,328,377,25337,9502,860,2453,2763,840,501,15514,6325,1709,16207,648,1546,1085,25776,2221,2220,387,27403,719,5205,8086,2269,4781,6599,1847,8510,5237
NDUFB9,43307,2025,21314,13888,2013,3079,2973,640,908,16253,10217,3401,27992,803,1648,1301,53821,3688,2068,743,31007,1241,13567,11335,2689,6252,12132,1443,9732,7639
NDUFC1,1139,641,3370,2883,186,498,1297,665,53,3597,3984,0,7517,337,313,516,16260,85,43,223,10733,324,2160,3895,976,2584,6343,877,3932,2161
NDUFC2,1576,385,4785,2065,352,472,941,766,152,1309,983,533,4591,379,455,200,8175,381,608,56,5542,82,1382,495,421,830,1080,479,2225,1608
NDUFC2-KCTD14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFS1,11075,376,3983,1077,59,1896,1083,1191,6,5033,1662,785,1826,33,96,49,11995,1366,1,18,362,897,1033,2983,1408,1800,4767,136,9284,8254
NDUFS2,1,163,16450,4274,1230,2942,837,1339,262,10531,2587,1450,5732,441,0,387,12611,1437,0,438,21323,590,4042,7842,413,2257,1800,3101,6529,6072
NDUFS3,635,161,8552,1876,524,1407,1473,326,453,3664,4312,1002,2660,396,108,620,22498,182,1,153,13107,324,11974,7909,409,2025,3605,908,7994,1048
NDUFS4,0,178,6548,1679,322,2,891,462,111,724,703,241,1869,428,54,242,2192,104,391,66,1640,286,1762,1018,257,860,2818,0,539,564
NDUFS5,9446,1026,20841,12031,571,644,2826,1342,441,11285,5922,1720,14348,1456,1204,597,53764,1218,1913,290,37534,313,6746,8815,1999,5489,10688,2672,11198,5051
NDUFS6,933,242,6462,2226,231,281,1644,57,145,4562,2666,380,2914,313,403,176,11793,176,1478,216,9329,114,4363,4476,1291,2014,4690,1118,3981,1029
NDUFS7,1,188,4559,3020,223,198,319,593,0,792,667,66,9072,209,22,101,5903,354,11,143,8500,63,3225,1969,310,356,6142,482,1294,593
NDUFS8,117,341,6139,5539,180,274,823,635,0,6609,2388,251,2493,422,222,449,16538,603,1,105,11278,217,6857,3660,1676,1137,3019,547,3649,1860
NDUFV1,639,461,9691,6685,1863,1811,888,1097,832,8763,3392,1171,6511,473,354,936,14458,2663,782,660,30453,217,15460,3459,3100,1556,3807,3063,9302,4509
NDUFV2,139,669,12665,7290,528,1242,899,896,46,5404,3316,1422,8293,737,1318,651,16129,857,100,339,10039,580,4804,3268,249,1449,3130,25,3460,2562
NDUFV3,179,297,228,747,160,11,334,56,0,539,770,149,2985,31,2,526,2670,108,173,137,381,0,1571,882,1,453,182,0,830,406
NEAT1,0,78,2340,256,527,562,114,159,485,0,0,680,4786,52,1197,816,1181,239,0,156,0,205,24,9,882,1197,0,0,581,1140
NEB,0,0,0,0,2,0,54,0,0,0,79,182,0,0,1,163,1,0,738,14,247,284,0,128,0,115,8,0,288,0
NEBL,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834
NEBL-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NECAB1,0,0,1,0,0,0,0,0,0,0,449,0,0,0,0,33,0,8,0,95,0,0,0,0,0,0,0,0,0,266
NECAB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NECAB3,0,0,0,0,36,1,0,4,1,0,0,1,1243,0,0,0,0,0,0,6,0,0,0,0,0,8,729,0,13,0
NECAP1,0,98,0,0,0,1,225,0,0,0,466,707,0,531,0,0,0,0,0,0,2951,1,0,0,0,0,2562,99,21,1344
NECAP2,0,57,2852,983,43,0,0,41,38,1177,537,0,1024,40,190,1014,863,34,0,3,1999,0,0,0,0,23,2547,0,0,740
NEDD1,2318,7,5330,1691,468,6,0,563,0,515,37,694,471,147,665,0,2156,71,0,0,0,354,148,4887,1052,238,443,0,547,5512
NEDD4,0,0,0,333,0,0,0,0,0,0,0,238,119,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0
NEDD4L,0,99,0,1,609,19,0,0,0,1503,0,296,4630,0,443,9,0,0,0,0,0,0,0,0,0,1,0,0,1712,0
NEDD8,3169,336,8446,9679,703,918,1699,993,315,9036,5867,638,6835,531,796,754,24313,660,743,192,20872,273,8147,5990,771,4390,5830,1144,5666,2411
NEDD8-MDP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEDD9,0,0,0,11,0,0,0,0,0,0,0,0,0,788,0,281,0,0,0,0,0,0,0,0,0,0,0,4,0,0
NEFH,9455,0,0,0,0,20,780,0,0,6,0,2149,1119,1,989,707,11,0,0,1135,13623,0,0,0,1014,987,2633,0,0,724
NEFL,0,1,0,0,105,0,0,0,9,0,0,652,0,421,19,194,0,0,0,5,0,0,0,0,0,0,0,0,0,0
NEFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
NEGR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NEGR1-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEIL1,0,0,0,0,0,0,1,0,1,0,0,0,0,143,9,36,8,0,0,8,0,0,0,0,0,0,0,0,0,0
NEIL2,0,0,0,1392,0,15,0,253,0,0,0,383,166,117,278,0,2727,0,171,0,1618,0,0,0,0,0,0,0,0,0
NEIL3,0,17,0,0,0,0,0,0,0,2059,4,0,0,0,0,0,0,178,0,0,6,311,1783,0,0,0,2203,0,5,829
NEK1,0,0,278,148,115,0,0,0,401,374,466,0,29,2,70,0,0,781,0,0,0,146,0,0,0,23,0,0,194,0
NEK10,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2
NEK11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEK2,1,11,0,0,803,139,76,0,1,2916,1,75,2050,0,154,0,224,1399,1,0,2836,712,1023,0,0,237,397,0,3523,1
NEK3,0,0,0,0,0,0,0,0,0,824,0,836,55,1431,2,160,0,1,0,1,0,0,368,0,728,0,0,0,0,0
NEK4,0,150,0,0,0,0,0,0,0,0,0,104,601,0,0,391,0,0,0,0,354,0,2046,0,1651,0,14,0,0,0
NEK5,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NEK6,0,64,0,139,0,6,329,0,0,118,22,0,31,4,3,0,0,2,0,83,65,0,1354,0,0,0,0,0,4,0
NEK7,0,12,1019,2,0,0,0,0,63,2038,848,1747,39,0,0,8,1084,363,0,10,0,138,29,103,1570,437,66,0,1923,0
NEK8,0,0,0,0,0,0,0,0,0,0,0,0,104,0,98,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0
NEK9,0,153,0,0,41,0,259,203,0,0,478,95,0,616,0,67,3153,0,0,24,1736,289,0,757,0,12,0,1845,19,749
NELFA,0,8,1,0,440,0,68,0,0,744,163,0,1458,0,0,437,5939,0,0,136,554,194,2609,51,0,31,0,0,2124,271
NELFB,0,6,184,0,0,7,211,0,0,0,5,27,55,0,0,78,109,0,39,108,4,4,240,0,384,6,0,0,1,72
NELFCD,1139,810,2099,2600,734,7,305,0,142,6069,1043,1055,2595,0,263,62,4388,37,184,346,4015,376,3898,6459,4064,2056,3515,1656,3842,5169
NELFE,3440,234,2159,1457,217,16,667,0,22,3916,1195,54,5921,0,346,751,2240,589,154,100,2253,190,35,2175,25,306,1240,1,3914,676
NELL1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0
NELL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
NEMF,4701,651,4163,7482,11,19,309,0,535,2531,1071,582,5019,6,5,7,7919,1410,0,1930,7228,197,552,1,372,712,6567,0,1492,1106
NENF,0,201,12,572,1,0,25,0,0,1114,570,0,0,0,0,0,4059,0,0,223,21,69,0,449,227,452,70,0,504,48
NEO1,0,875,18,281,473,0,0,313,91,0,0,118,436,0,0,0,0,7,2,8,0,0,0,0,0,0,0,0,0,0
NES,0,17,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NET1,0,0,4393,1693,0,1634,179,1,0,3633,2136,0,1352,1,861,534,4169,1,98,0,2252,0,2968,1455,1,957,0,1,1521,674
NETO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NETO2,0,26,0,0,329,0,0,43,0,0,0,23,1469,408,1325,600,0,1,998,0,0,0,0,0,1,0,10,0,0,0
NEU1,5177,619,1631,1054,302,0,499,6,24,6,317,162,627,1,11,620,13112,114,0,75,18705,613,173,8906,4780,459,7984,1,1802,2067
NEU2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEU4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURL,0,0,4,0,0,0,28,0,0,155,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,65,0
NEURL1B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURL2,0,0,0,216,0,0,0,0,0,0,0,0,0,158,0,4,0,8,0,88,0,0,0,0,0,0,0,125,0,1
NEURL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURL4,0,0,0,0,0,0,1,0,330,0,0,0,7,0,0,0,4,0,0,52,7,0,0,0,50,0,0,0,1,0
NEUROD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
NEUROD2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
NEUROD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEUROD6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEUROG1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEUROG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NEUROG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEXN,0,0,0,0,338,0,0,5,0,0,449,416,0,146,43,1,0,7,383,1,0,0,0,0,0,0,179,0,1071,0
NF1,7133,0,1091,178,30,146,0,68,5,190,509,247,17,177,117,29,178,82,0,190,0,252,2830,99,2394,97,556,179,1397,214
NF1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NF2,26,11,136,1099,746,1503,169,1856,37,4193,1646,599,2988,3927,83,1103,1360,165,405,213,7050,692,73,220,0,1014,6585,1710,1671,1324
NFAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFASC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NFAT5,0,413,1122,205,0,0,5,1,71,914,59,27,217,388,1,1,450,41,0,2,0,8,263,2933,0,247,0,0,2077,618
NFATC1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFATC2,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NFATC2IP,0,697,596,1126,60,98,239,0,828,1320,1417,2,1778,16,0,385,8325,116,679,45,3811,469,24,1449,0,936,3337,28,702,377
NFATC3,0,0,3577,862,197,0,321,0,319,1729,2199,274,18,124,1846,236,3568,97,822,69,1164,0,107,2335,1691,144,3379,24,704,416
NFATC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFE2,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFE2L1,0,0,442,9,602,63,214,176,104,640,14,126,18,20,21,0,533,9,31,321,696,275,135,0,105,426,190,0,110,132
NFE2L2,1,65,2572,0,382,11,93,0,51,326,855,0,512,64,13,1,155,841,0,104,7096,645,607,1537,48,324,0,0,4209,0
NFE2L3,0,781,18035,6,200,0,720,1,21,4281,6270,1985,175,795,0,14,13223,0,639,68,5426,166,5486,3782,1305,4536,155,0,6684,2538
NFIA,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,377,0,2,0,18,0,0,0,0,0,0,0,0,0,0
NFIB,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFIC,0,0,0,569,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79,0
NFIL3,0,0,2386,74,10,0,2,61,0,1275,96,334,0,0,0,0,8,0,0,114,0,0,705,0,51,683,0,43,1,69
NFIX,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB1,0,0,1309,0,0,0,0,0,0,0,40,0,0,0,0,1,10,0,0,1,0,0,0,12,0,0,166,0,4,0
NFKB2,134,419,0,202,154,68,16,4,500,0,0,8,0,75,387,159,803,4,109,148,0,2,0,0,0,8,21,144,274,1
NFKBIA,0,405,0,1514,0,0,0,183,266,849,2,0,294,13,15,4,166,43,0,203,92,0,1563,570,0,782,1361,326,0,37
NFKBIB,0,0,580,4,75,0,55,1,87,1,4,67,36,0,101,23,630,2,0,0,0,0,0,629,0,193,77,268,168,402
NFKBID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKBIE,0,0,0,0,0,0,1,0,0,0,155,0,0,0,495,0,140,39,0,0,0,0,0,8,10,260,0,0,2,0
NFKBIL1,0,8,0,0,0,0,89,0,1,0,0,0,39,0,0,0,0,31,0,0,0,4,0,0,0,0,0,1,0,0
NFKBIZ,0,0,0,0,286,0,34,0,0,119,637,0,0,0,0,130,903,0,0,0,0,0,0,0,0,59,0,0,177,1336
NFRKB,0,6,58,1943,1589,0,152,0,0,2559,657,1018,24,23,0,86,8706,597,0,798,135,0,1140,9935,0,483,335,0,30,1783
NFS1,0,0,0,247,0,0,209,0,0,0,695,0,757,0,90,0,1200,0,0,344,27,0,100,0,0,149,1420,111,127,0
NFU1,0,620,6423,1772,135,0,197,302,198,959,1043,221,2283,0,1003,570,4196,189,263,51,4511,2,1360,37,352,582,798,0,895,853
NFX1,0,7,21,1035,568,22,34,0,1220,2139,1417,0,2431,0,74,0,3203,9,25,134,3401,102,1661,4458,0,450,94,34,5,1236
NFXL1,0,62,31,1,194,0,4,140,450,2015,0,98,1076,0,0,1051,2016,20,0,140,1339,288,547,3807,0,125,2827,205,1819,1171
NFYA,0,443,2674,902,289,0,182,0,0,4359,902,0,295,0,0,1412,1880,11,0,264,16,0,0,0,0,0,0,0,130,2863
NFYB,1,360,5956,0,347,1399,1114,0,0,4481,2129,165,11198,538,800,762,7842,1092,10,364,4532,53,0,0,0,699,2771,32,2051,255
NFYC,0,593,2804,1139,191,0,591,606,100,1593,1224,204,203,611,1,0,3925,319,0,139,515,0,1180,22,1,261,363,0,1171,1224
NGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGDN,0,1,2176,177,336,0,773,1,531,4097,4543,700,4255,447,1,652,16503,302,4,285,12608,537,7389,8707,1304,2038,1725,1097,9820,2399
NGEF,0,0,0,0,0,0,1,0,0,0,0,0,0,52,566,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0
NGF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGFR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGFRAP1,0,238,0,378,0,442,2557,688,1,2588,15140,1,1217,301,364,159,21102,50,662,113,2067,370,8,1,1378,2016,6114,0,5632,2009
NGLY1,0,179,1616,217,323,0,337,1249,0,0,130,1554,2530,155,0,796,678,69,0,231,3485,1,232,2271,1014,291,1898,0,1162,388
NGRN,0,0,6,130,296,51,287,98,0,2835,1234,42,2383,168,0,1661,8283,113,58,124,4578,24,7160,557,1,1370,1235,81,2866,1113
NHEG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHEJ1,0,15,1,0,24,169,301,671,0,0,322,6,0,0,0,0,4,0,0,7,2260,264,63,5777,0,25,0,0,963,0
NHLH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHLH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHLRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHLRC2,0,0,141,0,0,0,1,0,0,0,0,0,0,285,0,0,2152,4,0,9,0,19,0,0,0,4,0,0,0,0
NHLRC3,0,0,0,369,0,120,3,327,364,2294,86,302,0,366,0,0,3740,0,847,0,0,145,0,1533,269,343,0,0,1422,95
NHLRC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHP2,36,1181,5791,4516,215,603,1348,746,247,6753,4111,446,14206,1678,1351,512,13110,1106,321,103,25940,479,7517,2634,967,883,5745,503,3741,2443
NHP2L1,5042,868,16328,13548,1158,842,3623,2206,467,19294,10285,1787,16638,1563,978,1797,34946,1889,347,561,47068,959,6661,27440,2221,5452,13173,396,10714,5241
NHS,0,10,0,0,0,0,0,0,0,0,0,0,3025,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
NHSL1,0,53,13878,1981,365,39,175,556,0,5791,1097,888,0,31,0,615,15971,697,56,44,16625,522,166,1937,69,914,3795,2227,7822,1158
