V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
ABRACL,0,816,11291,1223,170,0,670,299,0,531,2244,339,1356,1004,1121,3037,5151,287,18,182,5810,0,0,300,271,1043,159,0,2851,495
ABT1,708,534,5058,6723,7,925,1456,1127,746,9687,4425,0,12500,1925,153,665,10598,2679,1570,28,11102,277,5494,2388,993,758,2601,1170,9711,3066
ABTB1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,279,0,0,0,22,0,0,1216,0,0,0,0,0,0,0
ABTB2,0,7,34,0,76,0,58,0,0,0,0,264,519,0,0,11,0,0,0,0,0,3,7,0,0,0,0,89,0,0
ACAA1,35,219,0,0,224,0,217,1,420,1061,885,0,3340,0,110,0,32,251,267,85,1597,127,860,56,3,449,410,14,32,0
ACAA2,5917,514,2718,3932,172,387,498,1690,263,18140,2707,873,3928,2010,91,15,18899,775,586,343,3238,844,785,2079,0,2806,5094,1000,4169,2916
ACACA,0,1591,42,0,32,0,813,0,53,6344,511,0,2475,79,508,124,4068,158,0,585,764,457,6,267,3881,867,780,0,776,1266
ACACB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
ACAD10,0,339,51,0,0,248,0,0,16,0,20,587,0,11,0,0,230,587,439,189,236,0,0,3279,0,0,0,0,0,3
ACAD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD8,0,737,1408,323,0,0,0,106,26,0,742,0,0,71,0,691,317,0,0,20,2563,203,0,244,601,234,0,0,762,0
ACAD9,0,0,1823,367,79,0,0,0,0,83,0,0,113,7,852,8,1099,0,0,168,2161,0,0,59,6,5,1730,0,213,604
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,4604,1834,1,1977,1124,482,1,74,0,2875,1422,1137,2454,296,0,313,4630,3935,481,13,5791,911,3128,0,828,1563,5631,1830,1647,982
ACADS,502,1,0,0,0,0,0,0,0,0,0,1,0,4,88,500,89,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADSB,0,0,3203,961,179,2568,279,0,0,2511,79,0,0,0,32,0,6348,66,1,0,4411,0,11,5,0,118,1698,0,1465,2104
ACADVL,0,0,1883,605,13,18,233,0,10,56,942,319,446,253,261,5,9755,17,0,413,767,142,3129,11,736,214,1180,0,1934,0
ACAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0
ACAP2,0,371,1,1,0,0,0,0,0,98,374,0,976,920,1,5,0,0,927,67,419,2,96,8,0,996,0,0,768,1007
ACAP3,0,204,0,0,0,0,0,0,1,16,4,0,0,0,0,74,0,0,0,45,0,0,714,194,0,0,0,0,0,0
ACAT1,0,756,2222,731,327,0,1606,0,444,4250,3463,1364,2,0,0,0,16938,72,566,30,11191,789,2625,1,4,1071,4314,0,7256,6630
ACAT2,3803,21,11700,12040,1170,0,2600,377,0,16986,9842,1371,6675,1,657,340,30143,1217,451,87,26626,1999,4028,24531,4869,5660,16339,3022,10327,7874
ACBD3,0,4,1189,0,371,25,1,139,0,1747,472,280,3,180,368,413,5754,0,175,70,3733,332,279,531,0,1,0,1165,1316,1846
ACBD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACBD5,0,0,1998,12,25,336,0,0,66,0,483,0,0,0,0,26,1,850,0,1,0,1,590,0,1495,2,0,310,0,0
ACBD6,0,0,1649,1163,0,0,24,0,0,761,685,0,0,0,94,404,3244,0,0,12,0,140,0,1,0,0,871,0,0,24
ACBD7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,204,0,4,0,0,0,0,39,4,0,0,0,0,0,0,0
ACCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ACCSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ACD,964,0,0,174,3,0,459,854,0,1553,398,217,0,279,0,8,6,0,766,214,665,0,1741,0,797,261,1318,0,157,350
ACE,0,0,0,0,0,0,0,0,30,0,0,95,0,129,232,127,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ACE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ACER2,0,0,0,0,0,0,0,0,206,109,0,2,0,0,0,0,1554,0,0,0,0,0,0,0,0,0,0,0,6,0
ACER3,1,0,3468,0,0,0,73,0,0,4123,856,0,0,0,0,7,38,0,0,0,4765,0,0,8838,316,70,1301,0,496,3149
ACHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIN1,55,3,1004,1430,50,45,282,132,319,622,1042,340,1434,14,13,30,6477,709,511,293,3357,246,692,1729,1201,86,934,598,545,138
ACLY,1,1372,707,1834,1144,2489,877,224,4,27384,5680,309,2525,873,0,1073,16836,1,491,1082,16461,1582,3828,25793,4614,3627,7035,2910,6043,6208
ACMSD,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,99
